Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-07,16:00:00,227.7,230.4794,226.15,228.51,392917,0
2015-12-07,17:00:00,228.46,229.99,226.88,229.97,348713,0
2015-12-07,18:00:00,229.85,233.97,229.7,233.75,484052,0
2015-12-07,19:00:00,233.8,235.63,232.29,234.5792,364398,0
2015-12-07,20:00:00,234.42,234.74,232.25,232.908,224297,0
2015-12-07,21:00:00,232.8303,233.86,230.7,230.94,240533,0
2015-12-07,22:00:00,231.01,231.65,230.54,231.13,596564,0
2015-12-08,16:00:00,227.52,228.8,226.61,227.33,400061,0
2015-12-08,17:00:00,227.18,227.3796,224.2,226.19,620551,0
2015-12-08,18:00:00,226.32,228.17,225.53,228.16,355788,0
2015-12-08,19:00:00,228.2,228.23,226.4,226.77,188832,0
2015-12-08,20:00:00,226.87,227.2,225.855,227,142666,0
2015-12-08,21:00:00,227,227.72,226.38,226.96,158885,0
2015-12-08,22:00:00,226.93,227.49,226.22,226.72,398559,0
2015-12-09,16:00:00,226.7,227.5,225.57,226.84,170647,0
2015-12-09,17:00:00,227.07,227.3,225.55,226.791,392108,0
2015-12-09,18:00:00,226.8,227.17,220.82,221.595,498294,0
2015-12-09,19:00:00,221.57,223.27,220.72,222.48,409984,0
2015-12-09,20:00:00,222.51,225.24,222.36,224.3701,297004,0
2015-12-09,21:00:00,224.39,225.06,223.6,224.583,310076,0
2015-12-09,22:00:00,224.5188,225.17,224.1511,224.52,560247,0
2015-12-10,16:00:00,224.71,227.43,224.32,226.21,88009,0
2015-12-10,17:00:00,226.34,227.34,225.23,225.68,229744,0
2015-12-10,18:00:00,225.75,227.74,225.62,227.114,224056,0
2015-12-10,19:00:00,227.14,227.49,226.84,227.38,129137,0
2015-12-10,20:00:00,227.4,227.58,226.68,227,149634,0
2015-12-10,21:00:00,227.0099,228.49,226.958,228.245,318693,0
2015-12-10,22:00:00,228.21,228.38,226,227.07,440260,0
2015-12-11,16:00:00,225.24,225.75,222.21,222.56,321647,0
2015-12-11,17:00:00,222.57,223.93,222.33,222.899,382956,0
2015-12-11,18:00:00,222.85,223.18,221.58,221.945,302691,0
2015-12-11,19:00:00,222.01,222.3664,220.845,221.29,331413,0
2015-12-11,20:00:00,221.32,221.88,219.04,220.19,352502,0
2015-12-11,21:00:00,220.3,221.4,220,220.4,235963,0
2015-12-11,22:00:00,220.4,220.61,216.64,217.02,899472,0
2015-12-14,16:00:00,217.51,220.92,217.13,218.8599,388839,0
2015-12-14,17:00:00,218.65,220.01,217.05,217.41,368626,0
2015-12-14,18:00:00,217.39,218.38,214.87,216.83,345848,0
2015-12-14,19:00:00,216.92,219.44,216.37,218.82,308123,0
2015-12-14,20:00:00,219.0899,219.44,216.24,217.03,177836,0
2015-12-14,21:00:00,217.03,217.97,216.02,217.8399,233192,0
2015-12-14,22:00:00,217.75,218.81,216.77,218.81,257295,0
2015-12-15,16:00:00,221.82,222.22,220.3,221.6,286155,0
2015-12-15,17:00:00,221.65,221.72,218,219.9074,440921,0
2015-12-15,18:00:00,219.85,220.419,218.81,219.5525,224766,0
2015-12-15,19:00:00,219.42,222.21,219.39,221.4999,237274,0
2015-12-15,20:00:00,221.49,221.74,219.94,220.33,103469,0
2015-12-15,21:00:00,220.31,221.155,220.0645,220.29,115709,0
2015-12-15,22:00:00,220.34,221.52,219.985,221.09,446566,0
2015-12-16,16:00:00,222.1,226.99,220.73,226.48,517931,0
2015-12-16,17:00:00,226.48,232,226.2,230.36,1087760,0
2015-12-16,18:00:00,230.23,231.6199,229.805,229.95,639634,0
2015-12-16,19:00:00,229.88,230.2,228.4001,229.95,271075,0
2015-12-16,20:00:00,230.03,230.49,229.73,230.08,313953,0
2015-12-16,21:00:00,230.07,231.2399,227.61,231.08,239028,0
2015-12-16,22:00:00,231.04,234.77,230.25,234.59,346638,0
